"filename", "language", "TypeScript", "JSON with Comments", "Ignore", "JSON", "Markdown", "Shell Script", "YAML", "JavaScript", "Docker", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\.claude\settings.json", "JSON with Comments", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\chris\Desktop\RO-Nation.live\.claude\settings.local.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\chris\Desktop\RO-Nation.live\.dockerignore", "Ignore", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 50
"c:\Users\chris\Desktop\RO-Nation.live\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\chris\Desktop\RO-Nation.live\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 7, 12, 61
"c:\Users\chris\Desktop\RO-Nation.live\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 55, 10, 99
"c:\Users\chris\Desktop\RO-Nation.live\IMPROVEMENTS.md", "Markdown", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 38, 218
"c:\Users\chris\Desktop\RO-Nation.live\README.md", "Markdown", 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 89, 374
"c:\Users\chris\Desktop\RO-Nation.live\SEATING.md", "Markdown", 0, 0, 0, 0, 497, 0, 0, 0, 0, 0, 0, 0, 0, 97, 594
"c:\Users\chris\Desktop\RO-Nation.live\STARTUP.md", "Markdown", 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 139, 488
"c:\Users\chris\Desktop\RO-Nation.live\docker-compose.override.yml", "YAML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 1, 15
"c:\Users\chris\Desktop\RO-Nation.live\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 89, 6, 211
"c:\Users\chris\Desktop\RO-Nation.live\docker-cron.sh", "Shell Script", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 16, 4, 39
"c:\Users\chris\Desktop\RO-Nation.live\docker-entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 35, 5, 71
"c:\Users\chris\Desktop\RO-Nation.live\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 13, 2, 32
"c:\Users\chris\Desktop\RO-Nation.live\package-lock.json", "JSON", 0, 0, 0, 10295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10296
"c:\Users\chris\Desktop\RO-Nation.live\package.json", "JSON", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\chris\Desktop\RO-Nation.live\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 2, 10
"c:\Users\chris\Desktop\RO-Nation.live\public\brand\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\chris\Desktop\RO-Nation.live\public\brand\sleeptokenro\event-placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 22, 6, 52
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\scripts\check-plate.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 26, 200
"c:\Users\chris\Desktop\RO-Nation.live\scripts\cull.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 14, 142
"c:\Users\chris\Desktop\RO-Nation.live\scripts\grant-partner-owner.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 17, 153
"c:\Users\chris\Desktop\RO-Nation.live\scripts\privatise-textures.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 21, 147
"c:\Users\chris\Desktop\RO-Nation.live\scripts\purge-demo-content.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 29, 250
"c:\Users\chris\Desktop\RO-Nation.live\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 44, 24, 456
"c:\Users\chris\Desktop\RO-Nation.live\src\app\account\link\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 4, 6, 67
"c:\Users\chris\Desktop\RO-Nation.live\src\app\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 2, 10, 124
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\api-keys.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 16, 107
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\applications.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 82
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\company.ts", "TypeScript", 550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 130, 837
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\data-requests.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 19, 148
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\discord-link.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 28
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\docs.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 39, 253
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\door.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 19, 130
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\enquiries.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 18, 194
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\follows.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 77
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\merch.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 15, 123
