"filename", "language", "YAML", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\.claude\settings.json", "JSON with Comments", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\SEATING.md", "Markdown", 0, 0, 0, 0, 0, 59, 0, 11, 70
"c:\Users\chris\Desktop\RO-Nation.live\docker-compose.yml", "YAML", 4, 0, 0, 0, 0, 0, 19, 0, 23
"c:\Users\chris\Desktop\RO-Nation.live\package.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\scripts\cull.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 48, 9, 97
"c:\Users\chris\Desktop\RO-Nation.live\scripts\remind.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 15, 3, 36
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\api-keys.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 7, 2, 37
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\broadcast.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 17, 13, 70
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\comp.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 22, 16, 101
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\company.ts", "TypeScript", 0, 130, 0, 0, 0, 0, 132, 12, 274
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\docs.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 17, 8, 110
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\door.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 28, 3, 65
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\feedback.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 16, 13, 86
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\invoices.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 23, 14, 85
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\notifications.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 16, 0, 20
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-content.ts", "TypeScript", 0, 145, 0, 0, 0, 0, 19, 10, 174
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-events.ts", "TypeScript", 0, -114, 0, 0, 0, 0, -34, -20, -168
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-members.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 26, 5, 96
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\portal.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 12, 2, 29
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\studio-events.ts", "TypeScript", 0, 203, 0, 0, 0, 0, 97, 32, 332
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\survey.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 43, 9, 111
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\tickets.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 58, 8, 91
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\venue.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 17, 8, 111
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\waitlist.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 15, 11, 75
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\company\surveys\[id]\export\route.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 7, 1, 27
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\portal\seen\route.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 13, 5, 34
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\uploads\survey\route.ts", "TypeScript", 0, 128, 0, 0, 0, 0, 65, 28, 221
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\events\[id]\route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 6, 0, 8
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\events\route.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\purchase\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 15
"c:\Users\chris\Desktop\RO-Nation.live\src\app\careers\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 3, 0, 5
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\docs\guides\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, -13, 0, 0, 0, -13
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\shasha\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 76, 0, 15, 11, 102
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\surveys\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\surveys\[id]\responses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -160, 0, 0, -11, -171
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\surveys\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 3, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\tickets\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 410, 0, 36, 31, 477
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\tickets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 257, 0, 25, 18, 300
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\[slug]\[invoiceid]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 7, 6, 62
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 7, 15, 170
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 15, 3, 35
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 5, 8, 108
"c:\Users\chris\Desktop\RO-Nation.live\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\api\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 4, 0, 8
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -105, 0, -11, -14, -130
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
