"filename", "language", "YAML", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\STARTUP.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\chris\Desktop\RO-Nation.live\ad.md", "Markdown", 0, 104, 0, 0, 0, 0, 40, 144
"c:\Users\chris\Desktop\RO-Nation.live\content\legal\company\documents\merchandise-sales.md", "Markdown", 0, 88, 0, 0, 0, 0, 41, 129
"c:\Users\chris\Desktop\RO-Nation.live\docker-compose.yml", "YAML", 3, 0, 0, 0, 0, 20, 0, 23
"c:\Users\chris\Desktop\RO-Nation.live\package.json", "JSON", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\chris\Desktop\RO-Nation.live\scripts\deck-backdrop.ts", "TypeScript", 0, 0, 66, 0, 0, 45, 17, 128
"c:\Users\chris\Desktop\RO-Nation.live\scripts\post.ts", "TypeScript", 0, 0, 74, 0, 0, 46, 18, 138
"c:\Users\chris\Desktop\RO-Nation.live\scripts\posts\arena-shows-and-festivals.ts", "TypeScript", 0, 0, 123, 0, 0, 18, 5, 146
"c:\Users\chris\Desktop\RO-Nation.live\scripts\posts\deck-the-dj-rig.ts", "TypeScript", 0, 0, 107, 0, 0, 10, 5, 122
"c:\Users\chris\Desktop\RO-Nation.live\scripts\posts\index.ts", "TypeScript", 0, 0, 7, 0, 0, 19, 2, 28
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 10, 9, 108
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 229, 26, 18, 273
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\books\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 180, 30, 14, 224
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 27, 3, 48
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 8, 9, 71
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 276, 28, 19, 323
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\refund\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 190, 19, 15, 224
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\relatable.ts", "TypeScript", 0, 0, 12, 0, 0, 11, 2, 25
"c:\Users\chris\Desktop\RO-Nation.live\src\app\accounts\requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 269, 32, 23, 324
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\accounting.ts", "TypeScript", 0, 0, 405, 0, 0, 113, 68, 586
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-accounts.ts", "TypeScript", 0, 0, 103, 0, 0, 19, 28, 150
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-applications.ts", "TypeScript", 0, 0, 82, 0, 0, 54, 17, 153
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-brief.ts", "TypeScript", 0, 0, 104, 0, 0, 52, 16, 172
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-onboarding.ts", "TypeScript", 0, 0, 79, 0, 0, 32, 20, 131
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partnerships.ts", "TypeScript", 0, 0, 140, 0, 0, 82, 46, 268
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\payments.ts", "TypeScript", 0, 0, 281, 0, 0, 175, 46, 502
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\studio-events.ts", "TypeScript", 0, 0, 11, 0, 0, 19, 3, 33
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\partner\brief\route.ts", "TypeScript", 0, 0, 97, 0, 0, 56, 22, 175
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\pay\seen\route.ts", "TypeScript", 0, 0, 15, 0, 0, 21, 5, 41
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partner-accounts\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 189, 4, 15, 208
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partner-accounts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 141, 2, 14, 157
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partnerships\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 226, 14, 19, 259
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partnerships\brief\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 293, 23, 22, 338
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partnerships\brief\[id]\zip\route.ts", "TypeScript", 0, 0, 65, 0, 0, 41, 11, 117
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partnerships\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 383, 26, 22, 431
"c:\Users\chris\Desktop\RO-Nation.live\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 5, 1, 8
"c:\Users\chris\Desktop\RO-Nation.live\src\app\deck\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 349, 59, 24, 432
"c:\Users\chris\Desktop\RO-Nation.live\src\app\doc\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 30, 6, 56
"c:\Users\chris\Desktop\RO-Nation.live\src\app\document\[kind]\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 44, 8, 82
"c:\Users\chris\Desktop\RO-Nation.live\src\app\hub\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 26, 2, 49
"c:\Users\chris\Desktop\RO-Nation.live\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 11, 0, 14
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\code-of-conduct\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 17, 1, 83
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\data-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 6
