Date : 2026-08-21 22:56:04
Directory : c:\Users\chris\Desktop\RO-Nation.live
Total : 623 files,  76773 codes, 20913 comments, 8770 blanks, all 106456 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        374 |     42,484 |      7,232 |      4,233 |     53,949 |
| TypeScript         |        218 |     20,742 |     12,782 |      3,895 |     37,419 |
| JSON               |          3 |     10,370 |          0 |          3 |     10,373 |
| Markdown           |          6 |      1,568 |          0 |        455 |      2,023 |
| PostCSS            |          3 |      1,114 |        589 |        119 |      1,822 |
| YAML               |          3 |        169 |        145 |         19 |        333 |
| XML                |          7 |        134 |         22 |         12 |        168 |
| JSON with Comments |          3 |         65 |          0 |          3 |         68 |
| Shell Script       |          2 |         50 |         51 |          9 |        110 |
| Docker             |          1 |         34 |         55 |         10 |         99 |
| JavaScript         |          2 |         24 |         14 |          4 |         42 |
| Ignore             |          1 |         19 |         23 |          8 |         50 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        623 |     76,773 |     20,913 |      8,770 |    106,456 |
| . (Files)                                                                                               |         19 |     12,201 |        307 |        461 |     12,969 |
| .claude                                                                                                 |          2 |         61 |          0 |          2 |         63 |
| .github                                                                                                 |          1 |         42 |          7 |         12 |         61 |
| .github\workflows                                                                                       |          1 |         42 |          7 |         12 |         61 |
| content                                                                                                 |          1 |         88 |          0 |         41 |        129 |
| content\legal                                                                                           |          1 |         88 |          0 |         41 |        129 |
| content\legal\company                                                                                   |          1 |         88 |          0 |         41 |        129 |
| content\legal\company\documents                                                                         |          1 |         88 |          0 |         41 |        129 |
| public                                                                                                  |          7 |        134 |         22 |         12 |        168 |
| public\brand                                                                                            |          2 |         34 |         22 |          7 |         63 |
| public\brand (Files)                                                                                    |          1 |         10 |          0 |          1 |         11 |
| public\brand\sleeptokenro                                                                               |          1 |         24 |         22 |          6 |         52 |
| public\placeholders                                                                                     |          5 |        100 |          0 |          5 |        105 |
| scripts                                                                                                 |         11 |        943 |        478 |        166 |      1,587 |
| scripts (Files)                                                                                         |          8 |        706 |        431 |        154 |      1,291 |
| scripts\posts                                                                                           |          3 |        237 |         47 |         12 |        296 |
| src                                                                                                     |        565 |     61,011 |     19,562 |      7,670 |     88,243 |
| src (Files)                                                                                             |          2 |        586 |        748 |        119 |      1,453 |
| src\app                                                                                                 |        298 |     31,429 |      6,662 |      3,700 |     41,791 |
| src\app (Files)                                                                                         |          9 |      1,910 |        637 |        162 |      2,709 |
| src\app\about                                                                                           |          1 |        388 |         44 |         24 |        456 |
| src\app\account                                                                                         |          2 |        169 |          6 |         16 |        191 |
| src\app\account (Files)                                                                                 |          1 |        112 |          2 |         10 |        124 |
| src\app\account\link                                                                                    |          1 |         57 |          4 |          6 |         67 |
| src\app\accounts                                                                                        |          9 |      1,317 |        191 |        112 |      1,620 |
| src\app\accounts (Files)                                                                                |          3 |        306 |         66 |         24 |        396 |
| src\app\accounts\[id]                                                                                   |          2 |        318 |         36 |         27 |        381 |
| src\app\accounts\[id] (Files)                                                                           |          1 |        229 |         26 |         18 |        273 |
| src\app\accounts\[id]\edit                                                                              |          1 |         89 |         10 |          9 |        108 |
| src\app\accounts\books                                                                                  |          1 |        180 |         30 |         14 |        224 |
| src\app\accounts\new                                                                                    |          1 |         54 |          8 |          9 |         71 |
| src\app\accounts\refund                                                                                 |          1 |        190 |         19 |         15 |        224 |
| src\app\accounts\requests                                                                               |          1 |        269 |         32 |         23 |        324 |
| src\app\actions                                                                                         |         32 |      4,625 |      2,102 |        923 |      7,650 |
| src\app\api                                                                                             |         33 |      1,664 |      1,005 |        380 |      3,049 |
| src\app\api\auth                                                                                        |          7 |        328 |        155 |         80 |        563 |
| src\app\api\auth\dev                                                                                    |          1 |         45 |          7 |          9 |         61 |
| src\app\api\auth\logout                                                                                 |          1 |         28 |         21 |          9 |         58 |
| src\app\api\auth\roblox                                                                                 |          3 |        198 |         82 |         41 |        321 |
| src\app\api\auth\roblox\callback                                                                        |          1 |         87 |         19 |         16 |        122 |
| src\app\api\auth\roblox\consent                                                                         |          1 |         62 |         50 |         15 |        127 |
| src\app\api\auth\roblox\login                                                                           |          1 |         49 |         13 |         10 |         72 |
| src\app\api\auth\sso                                                                                    |          2 |         57 |         45 |         21 |        123 |
| src\app\api\auth\sso\authorize                                                                          |          1 |         32 |         26 |         12 |         70 |
| src\app\api\auth\sso\callback                                                                           |          1 |         25 |         19 |          9 |         53 |
| src\app\api\company                                                                                     |          1 |         79 |         17 |         12 |        108 |
| src\app\api\company\surveys                                                                             |          1 |         79 |         17 |         12 |        108 |
| src\app\api\company\surveys\[id]                                                                        |          1 |         79 |         17 |         12 |        108 |
| src\app\api\company\surveys\[id]\export                                                                 |          1 |         79 |         17 |         12 |        108 |
| src\app\api\health                                                                                      |          1 |         11 |          1 |          3 |         15 |
| src\app\api\merch                                                                                       |          2 |        104 |         64 |         28 |        196 |
| src\app\api\merch\plate                                                                                 |          1 |         45 |         35 |         15 |         95 |
| src\app\api\merch\plate\[token]                                                                         |          1 |         45 |         35 |         15 |         95 |
| src\app\api\merch\texture-preview                                                                       |          1 |         59 |         29 |         13 |        101 |
| src\app\api\partner                                                                                     |          1 |         97 |         56 |         22 |        175 |
| src\app\api\partner\brief                                                                               |          1 |         97 |         56 |         22 |        175 |
